feature,mean_absolute_shap
PM10,0.0008601111225318163
PM2_5,0.00012099999831989386
O3,0.00010399998575449015
CO,4.4000001065433046e-05
hour,1.3333333656191828e-06
SO2,1.222222251817584e-06
NO2,0.0
NO,0.0
NH3,0.0
day,0.0
month,0.0
weekday,0.0
AQI,0.0
AQI_lag_1,0.0
AQI_change,0.0
AQI_rolling_avg,0.0
